,clean_tweet
10,කඳුකර කොටි සහ හඳුන් දිවියන් නිසා බියෙන් දිවි ගෙවන පිරිසක්
11,ගමක් බිය කරන කොටි - හැටන් කොටගල කොමර්ෂල් සහ සමගිපුරම් ගම්මානවලට රාත්‍රී කාලයේදී මෙන්ම දිවා කාලයේදීත්පැමිණෙන කොටියන් සහ හදුන් දිවියන් නිසා ගම්වාසීන් බියෙන් පසුවෙයිවැඩි විස්තර -
12,සමහර මාමලාගෙ සීයලාගෙ ඇතුලු සමස්ත බයියන්ගේ අමරණීය මතකවලකොල කොටි නැතසුදුවෑනුත් නැත පමණක් ඇත ලකේපංකාවේබයියන්
13,කඳුකර කොටි සහ හඳුන් දිවියන් නිසා බියෙන් දිවි ගෙවන පිරිසක්
14,"මධ්‍යම අධිවේගී මාර්ගයේ මීරිගම - කුරුණෑගල කොටස අද පස්වරුවේ විවෘත කරලා ඉවර උනාම ජ වි පෙ ගොබ්බයෝ ටික "" උත්සවේට කොටි පහක් වියදම් කරා දැන් කාගේද මේ සල්ලි රටේ මහජනයගේ සල්ලි අපරාදේ අවුරැදු පහක් කන්න තිබ්බා රටේ මිනිස්සුන්ට බ්ලා බ්ලා "" පලයන් ගොබ්බයෝ යන්න"
15,මට චන්දේ දුන්නේජනතාව වන්චා ප්‍රරොඩාචන්දේට කොටි නැගිටිනො දැන් ජයගමු
16,අපි අාන්ඩුව හදන්න කොටි ගනන් වියදමි කරලා ? ? ? ? ? ? ?
17,දැන් සැපද කියා අසන අයටයි කියන්නේමෙන්න අපි ලබන සැප කොටි ඩයස්පෝරාව පිනවන්න රණවිරුවන් දඩයමේ ගිය උන්ව කානුවට බැස්සූලක්ශයක් දනන් සතුටුවෙන්නේ මෙහෙමයි
18,ලෝකයේ ඕනේ තරම් දක්ෂයෝ ඉන්නවාඅපි දන්නවා උදාහරණයක් විදියටඅවුරුදුවඩා මිලේච්චි තිරිසන් වැඩ කරපුකොටි සංවිධානයටත් විශාල මිනිස්සංවිධාන ජාලයක් තිබුනාඅවසාන වශයෙන් ඔහුන්ට මරාගෙන මැරෙන ඉතාමත් දක්ෂ සොල්දාදුවෝ හිටියාඑහෙත් ඔහුන් හිටගන්නේ වැරදි පැත්තේ නම්
19,වෙලාවට හැබැයි මං ඌට වෙනම මැසේජ් කරේ නැත්නම් මේ පරය මාව රිපෝට් කරනව තියන මලට
20,පාර මැද්දෙගහපු පරයෙක් මට කියන වාහනේ ගන්නලු ඌට යන්නහොල්ලන්නෙ නෑ මන්පුළුවන්නන් පල පරය
21,චන්චලාට ගහපු පරය කවුද යකෝ ?
22,ලෝක ප්‍රසිද්ධ බෝනවිස්ටා කොරල් පරය රූමස්සල විත්ති
23,ඕස්ට්‍රේලියා මහා බාධක කොරල් පරය ආරක්ෂා කිරීමට විශේෂ තාක්ෂණික ක්‍රමවේදයක් -
24,පරය රට කාල විනාශ කරලා හිටපන් ඔහෙට වෙලාරාජපක්ෂ පවුලතමහැදෙන්න ඕනේ
25,ලෝකයේ දුර්ලභ රෝස පැහැ මඩුවා නැවත හමුවේමහා බාධක කොරල් පරය ලෝකයේ විශාලතම ස්වාභාවික කොරල්පරය ලෙස සැලකෙන ඕස්ට්‍රේලියාවේ මහාබාධක කොරල් පරය අසළ සාගරයේ ලේඩි එලියට් දූපතට නුදුරුව කිමිදෙමින් සිටි ක්‍රිස්ටියන් ලේන් නම් ඡායාරූප ශිල්පිනියට අපූරු දර්ශනයක් දැකගැනීමට ලැබී තිබේ
26,මේ පරය යන්නේ මොන අපායේද ?
27,"සෙන්ටිමීටර් තිහක් දිග පහක් පලල සෙල්සියස් අංශක ට විතර රත් උන යකඩ බටයක් අරන් අංසක ට ලම්බකව පු ගහගෙන නිදාගනින් මලගෙවල් රචකය ලග හිටියනම් උඹට දෙන්නෙ මිටිමොලවලා දැනගනින් පරය "" ර "" යන්නට "" ක "" යන්න දාගනින් මෝඩ මූසලය"
28,මෙන්න මෙ පරයවසංගත ගැන කතා කරනව මුගෙ ආන්ඩු කාලෙ අවද මෙවැනි වසංගත තත්වයක් බඩෙ කැක්කුමක් ආවත් සිංගප්පූරුවට දුවන ගොන් පරය මරු කියවනවකුහක නොව් එකතු වෙයල්ල ‍
29,බොට කොන්ද පනතියනවනම් මේක මුලින් දාපු එකා හොයල කියපං වල් පරය
30,ඊයෙ රෑ ජනේලෙන් චූ කරද්දි ජුන්ඩ අතගාගෙන ගියපු පරය කව්ද ?
31,"දී විලියම් කාර්මයිකල් ගිබ්සන් නමැත්තා "" සොඳුර දසුන "" යන අර්ථයෙන් මෙයට බොනවිස්ටා යන නම තිබ්බාලුඑය පෘතුගීසි වදනක්ගාලු වරායේ එක් පැත්තක් වන බොනවිස්ටාව අප රටේ ඉහළම ජෛවවිවිධත්වය සහිත කොරල් පරය ලෙස සලකනවා"
32,බොනවිස්ටා කොරල් පරය රූමස්සල කන්දේ එක් කොටසක් බොනවිස්ටාව කියල කියනවාඒ වගේම මේ කන්දේ මුහුදු තීරය ජන්ගල් බීච් කියලත් කියනවාඊට යාබද නොගැඹුරු - නිල් - කොළවන් නොගැඹුරු මුහුදු තීරය තමයි බොනවිස්ටාව කියල කියන්නේමේක කොරල් පරයක්
33,ඉලෙක්ට්‍රිසිටි බෝඩ් එකේ ස්විච් එක ලමයෙක්ට දීපු පරය කව්ද ඌ සරින් සරේකරනවා
34,තව කීප දිනක් රට වැහුවොත් ලංකාවවෙන බව පරයින් ටික දන්නව උන්ට ඕනෙ ඒකෙන් බලයට එන්න මිසක් මිනුස්සු ගැන ඇත්ත අනුකම්පාවක් නෙමෙයිපරය = පිට එකා
35,මගෙ රෙදි ටික අරගන්න දුන්නැත්තං උඹේ රෙදිත් මං ගලෝනව දැනගනිං පරය
36,සීට් එක උඩ නැගලා හිටගෙන පලයන්
37,හාරදාස් පන්සියක් මට දීලා අරගෙන පලයන්
38,බැරිමනම් පොලෙන් ලොකු කැකිරිගෙඩියක් අරන් පලයන්
39,ජන එනකොට උඹලගෙ රත්තරන් බඩු අරන් යන්නැතුව ගෙදර තියල පලයන් යකෝ
40,ඉස්ටිකර් එකෙන් වැඩ්ඩෙක්ද නැද්ද කියල මනින්න පුලුවන් නම් මමත් වැඩ්ඩෙක් අනේ පලයන් බං යන්න
41,ලස්සන ගෑණු ළමයෙක් ෆලෝ කරාම ෆේක් යකෝ ෆේක් බලපන් උඹ වගේ එකෙක්ව ඔහොම එකපාරට ලස්සන කෙල්ලෙක් ෆලෝ කරයි කියලා හිතෙනවද ? ෆේක්වලට ෆලෝබැක් දීලා නෝන්ඩි නොවී දැක්කේ නෑ වගේ පලයන්
42,අනෙ පලයන් බං යන්න ස්වාධිනයි වගෙ කිය කිය කඩේ යන වහල් බයියා
43,"අහලා තියේද ? ? "" මට එන්න වෙන්නේ නෑ බං උඹලා පලයන් """
44,අනේ පලයන් බං යන්න
45,අනේ පලයන් බන්ග් යන්න
46,එලම බන් පරිස්සමින් පලයන්
47,අවුලක් නැ බන් ඔටො පයිලට් දාලා නිදාගෙන පලයන්
48,ගෘප් වලට යනකොට අමුනුගම කීලා එකෙක් හිටියොත් මතක් කරගෙන පලයන් මචන්
49,වසරඅනාගතය දුටු ගීත අයි අයියෝ ' පලයන් ’ ගොයම් ’ කැන්ඩි ලමිස්සි ' පලයන්ගොයම්
50,මේ රට දාල පිටරට යන්න එපා හුත්තො
51,උපන්දිනයට විශ් කරපු ඔක්කොටම ස්තුතියි ආදරෙයි ගොඩාාක්හැම විශ් එකකම අන්තිමට හුත්තො කියලා තිබ්බා ඒ ඇති ඒ වචනේ උගන්නලා මම
52,හුත්තො පාට්ය හවසද
53,බෝල බෝල යනවා හුත්තො
54,කරන්ට් ගියා හුත්තොචාජ් එක %
55,හුත්තො තොට වෙන ලෙඩක් ඒනම්ඩොකෙක් චැනල් කරලා බේත් ගනින්
56,"අරු උගේ වාහනේ ස්ටිකර් එකක් ගහන්න ගිහින් "" හුත්තො දැන් සැපද කියලා "" කියලා"
57,අම්මට හුකන්න දැන් පැයක් තිස්සෙ කරන්ට් එක නෑ එවපන් හුත්තො ඕක
58,මේක දැක්කොත් ගුඩ් නයිට් කියන් පලයන් හුත්තො
59,මන් ගාවත් ඉන්නවා අපේ ලොකු බැල්ලි උපතින් පස්සෙ අතඇරලා දාපු රොට්ලා පැටවු ක්
60,සත්ත්ව හිංසනය වළක්වන්න මොන පනත ගෙනාවත් වැඩක් තියෙනවද හයිවේ හදන්නෙ එහා ගෙදර බල්ලට මෙහා ගෙදර බැල්ලි බලන්න එන්න බැරි වෙන විදිහට නං
61,පල යන්න පර බැල්ලි නොදන්න මගුල් කතා නොකරතෝ ගිහින් කාපිය රාජපක්ෂලාගේ අශුචියුද්දෙ කරන කොට සුද්දේ දීපු කාලකන්නි පවුලබලපිය බජගලාදේසෙන් හිගා කන තැනට රට දැම්මා
62,මොන මගුලක්ද ඔයා මා ගැන කිව්වේ පොඩි බැල්ලි ? මම නාවික හමුදා සීල්ස් හි මගේ පන්තියේ ඉහළින්ම උපාධිය ලබා ඇති බව මම දනිමි මම අල්කයිඩා හි රහසිගත වැටලීම් ගණනාවකට සම්බන්ධ වී සිටිමිමම ගෝරිල්ලා යුද්ධ පිළිබඳ පුහුණුව ලබා ඇති අතර සමස්ත එක්සත් ජනපද සන්නද්ධ හමුදාවේ ඉහළම ස්නයිපර් මම වෙමිඔබ
63,බැල්ලියෙකුයි මහ මුගුරු දඩු විසාල බල්ලො තුනකුයි ඉන්නවා බලු ගෙදරඒ ගෙදර බැල්ලි එක්ක අපේ අයියලැ ලකියා සෙට් වෙලා දෙගමනක් විකෝගත්තාඑකපාරක් රුපියල් අටසීයක් දීල බෙහෙතුත් දැම්මාදැන් ආයෙත් ඒ බැල්ලි මූ එක්ක කැරකෙනවාඅපේ එකා වැඩි ආන්ස නැ වගේ තේරුනාම ඇවිත් කර උඩ නගිනවා
64,අපි වත්තට ඇවිල්ලා ප්‍රශ්න ඇතිකරලා යන බැල්ලි වියජකලා මහේශ්වරන්
65,කිරි බීලා පස්සේ බැල්ලි කියලා පයින් ගහලා එලෙව්වට අවුලක් නැද්ද ?
66,පරණ ගෑණු සෙට්එකක පින්තුරයක් හම්බුණාඉස්සරහ ඉන්න මල් ගවුම් කාරිනේ කීවේ ලංකාවේ සංස්කෘතිය එකින් එක කඩලා දානවා කියලාමේ‍ වගේ දඩාවතේ‍ යන බැල්ලි බල්ලෙකුට පුලුවන්ද අපේ සංස්කෘතිය විනාශ කරන්න ?
67,දහ අටවන මාසයේ බැල්ලි ඇතින්නිය ළඟට ගොස් ඔබ ගැබ්ගෙන ඇති බව ඔබට විශ්වාසද ? අපි එකම දිනයක ගැබ් ගත්තාමම බලු පැටවුන් දුසිමකට තුන් වතාවක් දරු ප්‍රසූතියක් කර ඇති අතර ඔවුන් දැන් විශාල බල්ලන් බවට පත්ව ඇතනමුත් ඔබ තවමත් ගැබ්ගෙන ඇතකුමක් සිදුවේද ?
68,අමාරුවෙන් ලැබෙන දෙය හැම විටම ශ්‍රේෂ්ඨයි ඇතින්නියක් සහ බැල්ලියෙකු එකවර ගැබ් ගත්තේයමාස තුනකට පසු බැල්ලි බලු පැටවුන් හය දෙනෙකු බිහි කළේයමාස හයකට පසු බැල්ලි නැවත ගැබ්ගෙන ඇති අතර මාස නවයකදී එහි තවත් බලු පැටවුන් දුසිමක් බිහි කළේයරටාව දිගටම පැවතුනි
69,මම ආස ගස් බැල්ලි කියන්න
70,බල්ලො බල්ලෝ ගාන්න එපා බැල්ලි
71,හුත්තිගෙ බැල්ලි මේකි පෙන්නන්න බෑ
72,ඉස්සර ඉස්කොලේ යන කොට මහත කෙල්ලෙක් නම් - බතලි කෙට්ටු කෙල්ලෙක් නම් - කටු බැල්ලි කන්නාඩි දානවා නම් - කන්නාඩි පොලග
73,විකසිත පෙම් පොකුරු පියුම් ඔබේ පයට පොඩි වී ගියාදෙන් පතිකුලයට අද මට පිටුපා යන මගේ සොඳුරු ළඳුනේ මගේ සොඳුරු ළඳුනේ දන්නව යනව කියලහැබැයි බැල්ලි කියන්නෙ නෑ බොහීමියානුවා
74,දොඩම් කොහෙද ඇඹූල නරි දන්න හුත්ත
75,හුත්තලංකාවෙ ඉන්න අපිට අපිට ඩොලර් එකට දෙනව කිව්ව රුපියල් දහයත් නෑලක්ෂ ගණන් වලින් පාඩුයිමේ රටේ තවදුරටත් ඉන්න අපියි තණකොල කන්න ඕනෙ
76,අපරාදෙ බන් හුත්ත කාලය ගොන් බඩු
77,මේ ටික්ටොක් ඇප් එක තහනම් කරපන්කො හුත්ත
78,ඔය කොයි අක්කත් මට පදිරි බන් හුත්ත
79,කන් දෙක රිදෙනව හුත්ත මේ මාස්ක් එකට
80,වාහනෙ එලවනකොට නින්දයන වෙලාව කිය කිය එනවද බන් හුත්ත මහ පාන්දර
81,මන් නම් කුනුහරුප දන්නේ වත් නෑ හුත්ත
82,ඊයා හුත්ත කුණුහර්ප කියනව මෙයා
83,මේ හුත්ත ඒක දන්නෙ වත් නෑනෙ
84,දැන් නම් හුත්ත ගෑනු දාන මොකුත් පිලිගන්න්‍ර් නෑ
85,එහෙනම් මචං මම ලෙෆ්ට් කී දෙනෙක් ගහයිද හුත්ත මට
86,මේකිටත් එක්ක හුකනවා හුජ්ජ පෙරෙන්නම හුත්ත පලනවා ඔය බැල්ලිගෙබලාගනින්
87,""" ඔය හුත්ත වහල සින්දුවක් දාපල්ලා "" මම මැරෙන අවස්තාවක අවට ඔබ සිටියොත් බූට් නොවන නැගල යන සිංදු සැට් එකක් දාන මෙන් කරුණාවෙන් ඉල්ලා සිටිමි"
88,උබ ඒවා මූනු පොතේ තින්බද න් කියල දැනගත්තට මන් දන්නේ නෑ හුත්තගූගලෙන් එන්නෙම මේ රෙද්දවල් විතරයිකවුරු හරි හිනාවුනොත් ඒ ඇති
89,මූනු පොතෙ එව්වා මේකෙ දාපුවහම එපා වෙනවා බන් හුත්ත
90,පකයා සේ නැ නැ මට ලෙඩ නෑ කියලාඑක කරලා හොස්පිටල් නොයා හිටියා දැන් හිතෙනවා බඩු පැකට්ද මන්දා කියලා
91,උදේට ගිය මේ පකයා දැනුයි ආවේ යසයියසයි
92,මේවා හදන උබල වගේ අපතයෝන්ට ගහන ඕනේ ධනාත්මකව හිතන කම් පකයා
93,"මිනිහෙක් බෙල්ල කපාගෙන පාරයිනෙ ඉන්නවාඔයා ගිහිං ඒ කෙනා උස්සලා ඉස්පිරිතාලගත කරනවාද ? මේ අහන්නෙ කවුරු හරි අල්ලද්දි එතනට වෙලා "" ආඔය පැත්ත නෙමෙආබලාගෙන බලාගෙන "" ගගා එතනත් මුදුන් පකයා වෙන එක නෙවෙයිඇත්තටම බැහැලා කරනවද ? මම නම් නෑ අදුනන කෙනෙක් නෙවෙයි නම් හිමීට මාරු"
94,නාකි පකයා එච්චර කල් ජීවත් වෙන් නෑ
95,මුදලට විකිනෙන පකයාතොගෙ පුකෙ හිල ලොකු ඇති රාජපක්ෂලා ඇරලා නේද ?
96,පල නාකි පකයාමුගේ තාත්තා මූව හදන්නේ නැතුව සරමේ පිහදාගන්න තිබුණේ
97,"අත්‍යවශ්‍ය ආහාර ද්‍රව්‍ය අඩුආදායම්ලාභී ජනතාවට අඩුමිලකට කූපන් ක්‍රමයකට ලබාදෙන්න කියලාඒ වගේම තෙල් භාවිතය කූපන් ක්‍රමයක් අනුව සලාක ක්‍රමයකට නිකුත් කිරීමට ක්‍රියාකරන්නඑමගින් තෙල් භාවිතය අඩුකරගන්න පිළිවෙළක් බලන්න "" මීට පකයා"
98,පකයා කියන්නේ රසිකට ද ?
99,පැරකුම්බා රජු පුක පොළොවේ ගහගෙන මැරෙන්නේ දන්නවානම්
100,තේ වතුර කෝපි බොන ගමන් මම නම් ඇට කසනවා පුක කසනවාමදුරුවො තලනවාටුයිට් බලනවාෆේස්බුක් යනවා තේ වතුර බොන ගමන් පොත් කියවන පුරුද්දක් නම් නැහැමොකද තේ බොන්න කන්න විකාර කරන්න ගියාම කලින් කියෝපු තැන මිස් වෙනවා
101,ඕ ඕ අන්තිමේ බතික් සරමක් ගහං ගෝල්පේස් එකේ කෑලිගානට පුක තමා දෙන්න වෙන්නේ
102,දුරදර්ශි සහ ප්‍රායෝගිකනවත්තපන් පුක
103,එහෙම දියුණු වෙලා කියන අය දිහා බලන්නමම ඔහොම වැඩමුළුව කට ගියා ඒකෙ අපි සාර්ථක වුනා කාර් ගත්තා ගෙවල් ගැහුවා කියපු සමහර අය එයාලගෙ කතාව ඉවර වෙලා ටිකක් එහාට මෙහාට ගිහිං අර ඔයාගෙ අල්ලපු ගෙදර ඇන්ටිලා වගෙ ගොඩේ තාලෙට පුක කහනවාහැසිරෙනවා කිසි ක්ලාසි ගතියක් නෑලෝක බොරුකාරයො
104,චීනෙපන් එකක් ගමුදලංකාවඔයාට පුක උනත් දෙනවා සූදූ චීනෙකීයද ? ලංකාවකමක් නැ අරින්න
105,මුලින්ම මට පුක හරවන්න අමාරු වුනා ඒත් සදරු අයියලගෙ තරු එද්දි පුක වැනීම බත්කනවටත් වඩා සරල දෙයක් වුනා
106,පුක ඉරාගෙන නිදි මරාගෙනහදලා එකඑකේදී කපන කොට එනඑකඑක හදනකොට ආවනම් නේත
107,මට මගේ පුක ලෙවකන්න ඕන
108,පුක දී නසී කියන්නෙ ඔන්න ඕකට
109,අඩ්ඩේ කවුද පුකේ රිංගන්නේ අම්මෝඅම්මෝ පුක පරිසම් කරන්න ඔනී
110,උබේ පුක ඇරෙන්න වෙන පුකක් නෑනේ බන් මට
111,ඔයා මගෙ පුක අස්සෙ රිංගන්නැතුව ඔයාගෙ වැඩක් බලාගන ඉන්ඩ
112,ඒකනෙ එහෙම වැඳලා මදිකන්න නැතත් ගිහිං පුක හෝදන්න ඕනනේද
113,පුක මහලා බඩයන්ඩ බෙහෙත් දෙනඑක ඊට වඩා එෆෙක්ටිව්
114,පුක මහලා බඩයන්ඩ බෙහෙත් දෙනවා
115,උලාකාපු උන්ටඉවැදැනමස්කාර කරනවා මම දැඩිවම මේ කාලකන්නි හැත්ත එලවනකම් පහර දෙනවාජනතා ආණ්ඩුවක් එනතුරු පහර දෙනවා
116,ජවිපෙ නිසා වැඩකරන්න බැරිනම් ප්ලීස් ඔයාල ඉල්ලා අස්වෙන්න % ක් කෑ ගහනකොට වැඩක් කරන්න බෑ කියන පොන්න හැත්ත මොකටද තවත් පුටුවල ඉන්නෙ % ක බලයක් දීල තව පුකත් දෙන්න ඕනිද තොපිට වැඩ කරන්න
117,වසංගතය ආවා නෙවේ උඹගේ බාප්පලා දෙන්නා රට ඇතුලට ගෙනාවාමේක වටේටම මුහුද තියෙන රටක් මැට්ටෝ වරද පිලිගනින් රාජපක්ෂලා කරපු පවතින රජයකින්රටක ජනතාව ආරක්ෂා කරන වැඩ පිළිවෙල කොහොමද බලන්න පල සිංගපුරුවට෴උඹල දැන්වත් ඉගෙන ගෙන වරෙව් රට කරන්නතවත් ජනතාව ගොනාට අන්දන්නේ නැතුවකාලකන්නි හැත්ත
118,විලිසංගයක් නැතිව අත් දෙකත් වනනවා වහල් හැත්ත
119,වෘතිය සමිති තහනං කරන්න බැරිද ? ලොකු දෙයක්පිං පඩි හැත්ත
120,නොදැකින් කොන්දක් නැති ගොං හැත්ත පලකෝ පිටරට රක්ෂාවකට කොන්දේ වටිනාකම තේරුම් ගන්න
121,කුහක හැත්ත මේවාට කෑගහපන් කෝ මේවා ත් උබලා බදු ගෙවන සල්ලි නේ කෝ පෙජ්ජෝකාරයෝසාපයක් උබලා නම්‼
122,ම හිගන්නෝ හිගන හැත්ත එලවලා ජනතාව රජකරවන ජනතාවගේ ප්‍රශ්න විසදන ජනතාවගේ රජයක් පිහිටවන්න අපි හැම එකතුවිය යුතුමයි
123,ප තමයිගොං හැත්ත ඉන්නකම් මේ රට හදන්න බැ මුං නායකයෝද ?
124,අපේ රට අපි හදමු එකතුවෙමු පෙළගැහෙමුවගේ වචන ටීවි එකෙ ඇහෙනකොටත් අප්පිරියයි බොරුකාර හැත්ත
125,ඉස්සර බාස්මතී කාපු ගානට දැන් නාඩු කකා ලැජ්ජ නැතුව මිදුලට ඇවිත් අතත් වනනවාතොපිත් එක්කනෙ අපි මේ රටේ ජීවත් වෙන්නෙ තැරි දාර බයි හැත්ත
126,ඇයි අපේ හැත්ත මේ තරම් මෝඩ
127,අර තලගොයෙක් වගේ එකක් රේන්ජ් රොවරේ ගාව ඇඔරුණා රතු දත්ත පොතට දාන්න හොදයි ඒ වගේ අපෘෂ්ටවංශික හැත්ත හැමෝටම කියන්නෙ පොඩ්ඩක් යද්දි බලාගෙන යන්න චප්ප වෙලා යයි ටයර් එකකට කාගෙහරි
128,යුද්ධය විකුනගෙන කාලා රටම කාපු කාලකන්නිහැත්ත
129,මේ පොල් බූරුව අඹ පක දෙල් ලොජික් නෙහ් දාන්නේපුදුම සාදාරන කොටෙක්
130,පක තමයි ගිය සතියේ = ගත්ත හාල් ඊයේ = මුට අමු කැවිලා
131,මොන පක හිඟ උනත් වහල් බයියො හිඟ වෙන්නැ ඒක සත්තයි
132,? + මගෙ පක දැක ඇත
133,පක තමයිලංකාවේන් බාගයක් විකුණා දැමිිමෙිි මිනිසුන්ට හිගා නොකා හිගා කන තත්වයට පත්කෙරැවෙ ඔය දකුණේ හිගන හැතිකරය තමයි
134,ඒ විතරද ? ? කටටත් ගන්නවඔයාල වගේ චිචී බේබිගෙ පක මතක් කරකර පුකේ ඇඟිල්ල ගහගෙන සැනසෙන ජාතිය නෙමේ අපිකෙලිම්ම නියක සහෝදරයත් එක්ක වැඩ
135,අපෙ ටීම් එකට ගොඩක් එවුන් බනිනවා නේද ? පැහැදිලි ඊරිසියාව තමා ඒකනම් කොහොමත් ඉතින් පක ඇති රුකටනේ ගල් ගහන්නෙත්
136,පක තමා දෙමාපියන්ට තියා මටවත් එන්න දුන්නෙ නෑ ඔන්ලයින් තියලා සහතිකේ ගෙදෙට්ට එව්වා
137,ඔව් අනේ ගොං නාම්බෝ ‘ පක ‘ ගොං නාම්බ ' ' ' ?
138,එතකොට බං ඔක්කොම අයියලා එක වල්ලෙ පොල් නේද බං ? අර ඩොලර් මිලියන පන්සිය ගෙවන ලද්දේ කාහටද ? පොහොට්ටු පක්ෂවහලුන් හට ඒවා ප්‍රශ්ණ නොවෙයිනේ අන්න හොයලා බලලා අපිටත් කියපංපොන්න පක්ෂවහලුන් නම් රටට හෙනයක් නේද ?
139,පොන්න පකෙක් නේ මුමොක්කු ආවත් මුන් වැඩ වර්ජනටිකට්අරන්රේල්පාරේයන්
140,ඊයේ ජනාධිපති මාධ්‍ය සාකච්ඡා තියලා විදුලිය ඇමති ලයිව් කපන්නේ නෑ කියලා අද කැපුවා කැපුවා විතරක් නෙවි කපන කාල සටහනක් එවලා අනේ මෙහෙම පොන්න ආන්ඩුවක් අර මොන්ටිසෝරි ජනාධිපතිඑකේ බොරු කියනවාද නැත්නම් මුං කියන දේ ආන්ඩුවේ එවුන් මායිම් කරන්නේ නැද්ද
141,පිරිමියෙක් කියන්නේ මුළු ජිවීත කාලය පුරා ගැහැණිය ආරක්ෂා කර පුළුවන් තරම් සැප ආදරය ලබා දෙන පුද්ගලයා නම් වේඑය මමත් දැක ඇත්තේ මගේ තාත්තා තුලින්නමුත් අද කාලයේ බහුතරයක් සිටින්නේ පොන්න පිරිමි සහ චිත්ත පිරිමි
142,ජඩ අමන අපත තක්කඩි පොන්න මිනීමරුවා
143,පිරිමියෙක් කියන්නේ මුළු ජිවීත කාලය පුරා ගැහැණිය ආරක්ෂා කර පුළුවන් තරම් සැප ආදරය ලබා දෙන පුද්ගලයා නම් වේඑය මමත් දැක ඇත්තේ මගේ තාත්තා තුලින්නමුත් අද කාලයේ බහුතරයක් සිටින්නේ පොන්න පිරිමි සහ චිත්ත පිරිමි
144,"කැරි පොන්න පකයෙක් "" අලුත් අවුරුද්දට සුබපැතුම් "" කියල මැසේජ්එකක් එවල"
145,අඩෝ බොක්කෙන් කියන්නේ ටක්ගාලා මැරිලා පලයන්කෝඋබලා වගේ පොන්න බයියෝ ඉන්නකන් කවදාවත් මේ රට ගොඩ යන්නේ නෑ
146,පකිස්තානයෙන් සමාව ඉල්ලනකොට ලංකාවේ ඉන්න පුක දෙන පොන්න හැත්ත මරපු එක සාදාරණීකරණය කරන්ඩ යනවා පොඩි කාලේ මව් කිරි වෙනුවට කොනකපා ශුකාණු උන්ට බොන්ඩ දීලා තියෙන්නෙ ඒකයි එහෙම අවජාතක හැත්ත දැකලාහිතුනා
147,ඉරාජ් දඩාවතේ යන බල්ලා තෝ බලපිය ඉමිරාන් ඛාන් පැයක් ඇතුලත සිය ගාණක් අත් ැඩංගිවට අරගෙන තොපේ කාලකන්නි පාලකයො දිණුවා කියලා මොනවද බල්ලෝ කරේ ? තොපි වගේ පොන්න අවජාතක බල්ලෝ නිසයි මේ රට අගාදෙට යන්නේබලපිය රාජපක්ෂලා එදා කරපු හැටි කාලකන්නි බල්ලි
148,ඉරාජ්ට වඩා වද පොන්න කැරි පකයෙක් දැක්කොත් වහාම අටපට්ටමට කියන්න ඕනෙ හොදේ
149,මට පුයන්න කයන්නෙන් හිනා බම් මේ පොන්න ගැත්තෝ දැක්කාම
150,ඔය වගේ පොන්න වේසාවෝ පිරිලා මේවා රැග්ද හුත්තො
151,පොන්න හුත්තිගේ පුතාලා ටිකක් කැරී රස්නෙයි ඕයිකරුමෙ
